Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
1,6,753,0,0,0,0,9,51,1,1,1
0,0,0,0,0,0,0,0,51,1,1,1
0,0,0,0,0,0,0,0,51,1,1,1
0,0,0,0,0,0,0,0,51,1,1,1
0,1,484,0,0,0,0,0,51,1,1,1
0,3,1440,0,0,0,0,0,51,1,1,1
1,0,0,0,1,1,5450,20263,51,1,1,1
0,1,7,0,0,0,35370,12020,51,1,2,1
0,1,7,0,3,3,30940,9919,51,1,2,1
1,0,0,0,0,0,0,8861,51,1,0,0
0,1,13,0,0,0,4200,11984,51,1,1,1
3,0,0,0,0,0,0,25054,51,1,1,1
0,3,27,0,2,2,2400,18613,51,1,1,1
1,9,154,0,1,1,15490,4239,51,1,1,1
0,0,0,0,2,1,6980,15630,51,1,1,1
1,6,146,0,0,0,1000,17954,51,1,1,1
1,0,0,0,0,0,8300,17133,51,1,0,0
0,16,318,0,0,0,0,1417,52,1,1,1
0,14,297,0,0,0,0,301,52,1,1,1
0,12,263,0,0,0,0,347,52,1,1,1
2,2,14,0,0,0,4800,5309,52,1,2,1
1,0,0,0,1,1,100,7247,52,1,0,0
0,0,0,0,0,0,0,7568,52,1,0,0
1,0,0,0,0,0,0,7341,52,1,0,0
1,0,0,0,1,0,2280,9932,52,1,2,1
2,0,0,0,1,0,3330,15766,52,1,1,1
0,1,186,0,0,0,0,320,52,1,1,1
0,3,565,0,0,0,0,2,52,1,1,1
0,1,14,0,1,1,7500,10747,52,1,1,1
1,2,15,0,1,1,30700,30228,52,2,1,1
1,4,48,0,2,2,28010,26533,52,2,1,1
1,10,179,0,2,1,21610,18574,52,2,1,1
1,0,0,0,0,1,37800,7718,52,1,1,1
1,0,0,0,2,1,30250,8048,52,1,1,1
1,0,0,0,0,0,480,12402,52,1,0,0
1,0,0,0,0,0,0,0,52,2,0,0
3,0,0,0,0,0,3100,17625,52,1,0,0
2,0,0,0,1,0,4000,36098,52,1,2,1
2,1,18,0,3,3,9650,35688,52,1,1,1
2,1,18,0,3,3,6650,33235,52,1,1,1
3,1,18,0,3,3,6650,31463,52,1,1,1
3,1,18,0,3,3,2850,24644,52,1,1,1
1,1,18,0,3,3,2850,18118,52,1,1,1
0,0,0,0,0,0,6250,10555,52,1,0,0
